name,price,quantity,total_price,url
Resistor 2K - 1/4W - 5%,0.09,100,9.0,https://www.curtocircuito.com.br/resistor-2k-1-4w-5.html
Resistor 1K - 1/4W - 5%,0.09,100,9.0,https://www.curtocircuito.com.br/resistor-1k-1-4w-5.html
Acelerômetro e Giroscópio 3 Eixos 6 DOF - MPU6050,16.65,10,166.5,https://www.curtocircuito.com.br/modulo-acelerometro-3-eixos-mpu6050.html
Teclado Matricial - Membrana - 4x4,6.75,10,67.5,https://www.curtocircuito.com.br/teclado-matricial-membrana-4x4.html
Servo Motor - MG90S,26.73,10,267.3,https://www.curtocircuito.com.br/servo-motor-mg90s-towerpro.html
Display 7 Segmentos Vermelho - Anodo Comum,1.71,20,34.2,https://www.curtocircuito.com.br/display-7-segmentos-vermelho-anodo-comum.html
Display OLED 128x64 Px - 0.96" - 4 Pin - Azul,24.08,10,240.8,https://www.curtocircuito.com.br/display-oled-128x64-px-0-96-4-pin-azul.html
Trimpot Linear Horizontal - 3386H - 10K,2.61,20,52.2,https://www.curtocircuito.com.br/trimpot-linear-horizontal-3386h-10k.html
Sensor de Presença - Piroelétrico - PIR - HC-SR505,9.81,10,98.1,https://www.curtocircuito.com.br/sensor-de-presenca-piroeletrico-pir-hc-sr505.html
Led Difuso Branco - 5mm,0.23,50,11.5,https://www.curtocircuito.com.br/led-difuso-branco-5mm.html
Sensor de Gestos Infravermelho - APDS9960,17.91,10,179.1,https://www.curtocircuito.com.br/sensor-de-gestos-infravermelho-apds9960.html
Sensor de Distância Ultrassônico - HC-SR04,12.42,10,124.2,https://www.curtocircuito.com.br/sensor-ultrassonico-hc-sr04.html
Sensor Óptico Reflexivo - TCRT5000,1.44,30,43.2,https://www.curtocircuito.com.br/sensor-optico-reflexivo-tcrt5000.html
Sensor de Luminosidade - LDR - 7mm,1.8,30,54.0,https://www.curtocircuito.com.br/sensor-de-luminosidade-ldr-7mm.html
Resistor 20K - 1/4W - 5%,0.09,50,4.5,https://www.curtocircuito.com.br/resistor-20k-1-4w-5.html
Potenciômetro Linear - 10K - L20,2.25,20,45.0,https://www.curtocircuito.com.br/potenciometro-linear-10k-l20.html
Capacitor Eletrolítico 100uF / 50V,0.18,40,7.2,https://www.curtocircuito.com.br/capacitor-eletrolitico-100uf-50v.html
Capacitor Eletrolítico 220uF / 35V 8x11 Yageo,0.3,40,12.0,https://www.curtocircuito.com.br/capacitor-eletrolitico-220uf-35v-8x11-yageo.html
Capacitor Eletrolítico 47uF / 50V 6x12,0.14,40,5.6,https://www.curtocircuito.com.br/capacitor-eletrolitico-47uf-50v-6x12.html
Capacitor Eletrolítico 4.7uF / 100V 5x11 Yageo,0.11,40,4.4,https://www.curtocircuito.com.br/capacitor-eletrolitico-4-7uf-100v-5x11-yageo.html
Resistor 220R - 1/4W - 5%,0.09,100,9.0,https://www.curtocircuito.com.br/resistor-220r-1-4w-5.html
Resistor 470R - 1/4W - 5%,0.09,100,9.0,https://www.curtocircuito.com.br/resistor-470r-1-4w-5.html
Led Difuso RGB - 5mm - 4 Terminais - Catodo Comum,0.81,20,16.2,https://www.curtocircuito.com.br/led-difuso-rgb-5mm-4-terminais-catodo-comum.html
Led Difuso Azul - 5mm,0.23,50,11.5,https://www.curtocircuito.com.br/led-difuso-azul-5mm.html
Led Difuso Vermelho - 5mm,0.23,50,11.5,https://www.curtocircuito.com.br/led-difuso-vermelho-5mm.html
Led Difuso Verde - 5mm,0.23,50,11.5,https://www.curtocircuito.com.br/led-difuso-verde-5mm.html
Led Difuso Amarelo - 5mm,0.23,50,11.5,https://www.curtocircuito.com.br/led-difuso-amarelo-5mm.html
Diodo Retificador 1N4007 - 1000V / 1A,0.18,50,9.0,https://www.curtocircuito.com.br/diodo-retificador-1n4007-1000v-1a.html
Buzzer 12mm - Auto Oscilante - 5V,2.52,20,50.4,https://www.curtocircuito.com.br/buzzer-12mm-auto-oscilante-5v.html
Chave Táctil KFC-A06 - 6x6x5 mm - 2 Terminais,0.18,100,18.0,https://www.curtocircuito.com.br/chave-tactil-kfc-a06-6x6x5-mm-2-terminais.html
Protoboard 830 Pontos,14.31,10,143.1,https://www.curtocircuito.com.br/protoboard-830-pontos.html
Caixa Organizadora - SB-121,31.95,10,319.5,https://www.curtocircuito.com.br/caixa-organizadora-sb-121.html
Kit Jumper Fêmea Fêmea - 20 pçs,4.05,10,40.5,https://www.curtocircuito.com.br/kit-jumper-femea-femea-20-pcs.html
Kit Jumper Macho Macho - 20 pçs,4.05,10,40.5,https://www.curtocircuito.com.br/kit-jumper-macho-macho-20-pcs.html
Kit Jumper Macho Fêmea - 20 pçs,4.05,10,40.5,https://www.curtocircuito.com.br/kit-jumper-macho-femea-20-pcs.html
Placa DOIT ESP32 - ESP32-WROOM-32D - WiFi / Bluetooth,47.7,10,477.0,https://www.curtocircuito.com.br/placa-doit-esp32-esp32-wroom-32d-wifi-bluetooth.html
Módulo Driver Ponte H - L298N,15.75,10,157.5,https://curtocircuito.com.br/modulo-driver-ponte-h-l298n.html
Kit Motor Dc 3-6v + Roda - Redutor Plastico,16.11,10,161.1,https://curtocircuito.com.br/kit-motor-dc-3-6v-roda-redutor-plastico.html

Total: $2972.6
